Name,Team,Nat,Age,Pos,Height,Weight,Apps(Subs),Mins,Goals,Assists,Yel,Red,SpG,PS%,AerWon,MoM,Tackles,Inter,Fouls,OffW,Clear,DrbPast,Blocks,OwnG,KeyP,Drb,Fouled,Off,Disp,UnsT,AvgP,Crosses,LongB,ThrB,Rat
Conor Coady,Wolverhampton Wanderers,eng,27,"D(CR),DMC",185,73,38,3420,-,-,5,-,-,84.3,0.9,1,0.8,0.8,0.3,0.5,3.3,0.4,0.7,3,0.1,0.1,0.2,-,0.1,0.2,44.4,-,6.4,-,6.45
Rúben Vinagre,Wolverhampton Wanderers,pt,21,M(L),174,64,7(10),706,-,-,1,-,0.2,77.3,0.5,-,0.8,0.8,0.7,0.1,0.8,0.2,0.1,-,0.4,0.8,0.5,0.1,0.7,1.1,16.8,0.4,0.5,-,6.41
Hélder Costa,Wolverhampton Wanderers,pt,26,AM(CLR),178,73,16(9),1346,1,2,3,-,1,81.4,0.4,-,0.7,0.4,0.8,-,0.2,0.6,-,-,0.7,1,0.9,0.2,1.7,1.9,17.7,0.1,0.4,-,6.36
Ivan Cavaleiro,Wolverhampton Wanderers,pt,26,"AM(CLR),FW",175,73,6(17),687,3,1,1,-,0.6,75.5,0.4,-,0.2,0.2,0.6,-,0.2,0.6,-,-,0.8,0.7,0.2,0.3,0.8,1.1,12.8,0.7,0.1,-,6.35
Morgan Gibbs-White,Wolverhampton Wanderers,eng,20,AM(C),171,0,5(21),651,-,1,1,-,0.3,83.9,0.5,-,0.2,-,0.3,-,-,0.1,-,-,0.4,0.5,0.2,0.1,0.6,0.9,12.2,0.2,0.8,0.1,6.20
Léo Bonatini,Wolverhampton Wanderers,br,26,FW,185,80,0(7),130,-,1,-,-,1.3,78.9,0.1,-,0.1,-,-,-,-,0.6,-,-,0.3,0.1,-,-,0.6,0.6,8.1,-,0.3,-,6.13
Maximilian Kilman,Wolverhampton Wanderers,eng,23,D(C),0,0,0(1),1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.00
Will Norris,Wolverhampton Wanderers,eng,27,GK,195,74,0(1),1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.00
Sol Bamba,Cardiff City,ci,35,"D(C),DMC",190,90,28,2477,4,1,7,-,0.8,69.1,3.4,3,2.6,2.9,1.3,0.2,6.3,0.9,1.1,-,0.1,0.5,0.4,0.1,0.4,0.7,19.6,-,1.6,-,7.15
Sean Morrison,Cardiff City,eng,29,D(C),193,89,34,3040,1,3,6,-,1,62.8,6.6,1,1,1.5,0.9,0.3,5.9,0.4,0.9,-,0.6,0.2,0.6,0.3,0.3,0.4,21.7,-,1.1,-,6.96
Nathaniel Mendez-Laing,Cardiff City,eng,28,AM(LR),180,77,11(9),987,4,1,-,-,1,62,1.2,-,1.7,0.7,0.4,-,0.7,0.7,0.1,-,1,1.5,0.2,0.2,1,1.3,12.8,0.5,0.3,0.1,6.88
Callum Paterson,Cardiff City,sct,26,"D(R),M(CR),FW",183,76,21(6),1996,4,1,4,-,1.5,48.4,7.5,1,0.8,0.3,1.5,-,1,0.8,0.1,-,0.9,0.2,1.1,0.4,0.4,1.1,20.4,0.2,0.5,-,6.82
Joe Bennett,Cardiff City,eng,30,"D(L),M(L)",183,74,30,2641,-,1,5,-,0.3,71.8,1.2,-,1.7,2,0.7,0.1,2.8,0.5,0.3,-,0.5,0.8,1.2,-,0.4,0.3,23.1,0.4,1.4,-,6.77
Neil Etheridge,Cardiff City,ph,30,GK,188,90,38,3420,-,-,2,-,-,32.3,0.2,3,-,0.2,-,-,0.8,-,-,-,0.1,-,0.1,-,-,-,30.1,-,9.1,-,6.72
Víctor Camarasa,Cardiff City,es,26,M(CR),183,76,31(1),2579,5,4,6,-,1.3,75.1,0.6,-,0.9,1,0.7,-,0.8,0.8,0.1,-,1.6,1.1,0.9,-,1.5,1.9,27.7,1.3,1.4,-,6.72
Bruno Ecuele Manga,Cardiff City,ga,32,D(CR),186,76,37(1),3374,-,1,-,-,0.3,64.9,2.3,-,1.8,2.1,0.4,0.3,4.5,0.8,0.7,-,0.2,0.3,0.3,-,0.3,0.6,25.2,0.1,2.4,-,6.69
Aron Gunnarsson,Cardiff City,is,31,M(C),178,70,27(1),2275,1,1,5,-,0.7,71.6,1.7,-,1.8,1.4,0.9,-,1.9,2.2,0.4,-,0.6,0.4,1.1,-,0.3,0.9,26.8,0.1,1.5,-,6.61
Lee Peltier,Cardiff City,eng,33,"D(CLR),DMC,M(R)",178,73,17(3),1543,-,-,4,-,0.1,60.2,1.5,-,2,0.9,0.8,0.2,2.7,0.6,0.6,-,0.1,0.2,0.3,-,0.2,0.4,17.1,0.2,1.1,-,6.54
Josh Murphy,Cardiff City,eng,25,"AM(LR),FW",173,67,22(7),1826,3,2,2,-,1.6,60.4,0.4,1,0.9,0.4,0.5,-,0.3,0.7,-,-,0.6,1.3,1.9,0.3,1.3,1.5,10.6,0.5,0.4,0.1,6.54
David Junior Hoilett,Cardiff City,ca,30,"M(CLR),FW",173,70,23(9),2143,3,1,4,-,1.3,71.6,0.6,-,1.3,1,1.1,-,0.8,1.2,-,-,0.8,0.7,1.2,0.3,1.2,1.6,13.8,0.6,0.5,-,6.46
Joe Ralls,Cardiff City,eng,27,M(CL),183,70,22(6),1960,-,-,4,1,0.8,69.2,1.2,-,1.6,1,1,-,1,0.8,0.2,-,1.2,0.2,0.4,-,0.5,0.7,27.8,0.9,2.9,-,6.45
Oumar Niasse,Cardiff City,sn,30,FW,182,75,12(1),940,-,-,-,-,1.3,64.7,2.9,-,0.9,0.2,0.6,-,0.5,0.3,-,-,0.4,1.5,1.3,0.7,2.9,4.4,12.8,-,0.2,-,6.43
Greg Cunningham,Cardiff City,ie,29,"D(CL),M(L)",183,77,7,630,-,-,3,-,0.3,73.7,0.6,-,2.6,2.4,1.1,0.1,1.9,1,0.4,-,0.7,-,1.9,-,0.1,0.9,25.6,0.3,2.3,-,6.43
Bobby De Cordova-Reid,Cardiff City,eng,27,"M(CL),FW",170,68,16(11),1423,5,2,-,-,1,71.4,0.4,1,0.6,0.1,0.2,-,0.4,0.2,-,-,0.6,0.6,1,0.4,1.1,1.5,11.5,0.1,0.2,-,6.41
Harry Arter,Cardiff City,ie,30,M(C),176,70,24(1),2009,-,1,10,-,0.9,80.7,0.2,-,2.5,0.8,1,-,0.8,1.2,0.2,-,0.4,0.1,0.6,0.1,0.1,0.8,26.3,0.2,1.7,-,6.39
Kadeem Harris,Cardiff City,eng,27,M(LR),175,67,3(10),366,1,-,1,-,0.4,70.5,0.2,-,0.9,0.2,0.3,-,0.3,0.1,-,-,0.5,0.5,0.4,0.1,0.5,1,6.8,0.3,-,-,6.37
Leandro Bacuna,Cardiff City,nl,29,"D(LR),M(CLR)",187,77,4(7),554,-,-,2,-,0.5,66.9,0.6,-,1.4,1.4,1.2,-,0.8,1.3,0.2,-,0.1,0.5,0.3,-,0.5,1,13.2,0.2,0.8,-,6.34
Kenneth Zohore,Cardiff City,dk,26,FW,189,98,7(12),747,1,1,1,-,0.9,62.5,2.2,-,0.2,0.1,0.7,-,0.3,0.1,0.1,-,0.6,0.3,1.1,0.2,0.7,1.2,7.2,0.1,0.1,0.1,6.31
Danny Ward,Cardiff City,eng,28,"AM(CL),FW",178,72,4(10),440,1,-,-,-,0.8,54.3,2.2,-,0.1,-,0.1,-,0.6,0.2,0.1,-,0.5,-,0.4,0.2,0.4,0.9,6.6,-,0.1,-,6.29
Jazz Richards,Cardiff City,wls,29,"D(LR),M(R)",185,78,0(4),129,-,-,-,-,-,69.2,-,-,-,0.5,-,0.3,1.3,0.3,0.3,-,-,-,-,-,-,0.5,6.5,-,-,-,6.04
Rhys Healey,Cardiff City,wls,25,FW,180,72,0(3),49,-,-,-,-,0.3,28.6,0.3,-,0.3,-,0.3,-,-,0.3,-,-,0.3,0.3,0.3,-,0.7,1,2.3,-,-,-,6.03
Loïc Damour,Cardiff City,fr,29,AM(C),180,74,0(2),21,-,-,-,-,0.5,72.7,0.5,-,-,-,0.5,-,-,0.5,-,-,-,-,-,-,-,0.5,5.5,-,1,-,6.01
Gary Madine,Cardiff City,eng,30,FW,193,80,0(5),32,-,-,-,-,-,83.3,0.6,-,0.2,-,0.4,-,-,-,-,-,-,-,0.2,-,0.4,0.2,2.4,-,-,-,5.99
Aleksandar Mitrovic,Fulham FC,rs,26,FW,189,90,37,3282,11,3,7,-,3.5,72,6.5,4,0.5,0.2,1.6,-,1.4,0.3,0.2,-,0.8,0.6,1.6,0.9,2.6,3,27.7,-,0.4,0.1,7.03
Ryan Babel,Fulham FC,nl,33,"M(LR),FW",185,79,15(1),1260,5,3,3,-,1.7,82.9,0.9,1,0.5,0.4,0.9,-,0.6,0.4,-,-,1.4,1.7,1,0.6,1.8,2.3,29.3,0.7,0.7,-,6.86
Calum Chambers,Fulham FC,eng,25,"D(CR),DMC",182,66,29(2),2587,2,-,9,-,1.1,79,2.1,-,2.1,2.2,1.1,0.3,3.5,1,0.4,-,0.5,0.7,0.1,-,0.8,1,47.9,-,2.9,-,6.82
Maxime Le Marchand,Fulham FC,fr,31,D(CL),185,78,25(1),2252,-,1,5,-,0.2,83.3,2.2,-,2.2,2.1,1.1,0.6,4.7,0.9,0.6,-,0.3,0.4,0.3,0.1,0.2,0.4,53.3,0.2,3.5,-,6.72
André-Frank Zambo Anguissa,Fulham FC,cm,24,DMC,184,78,16(6),1519,-,-,1,1,1,87.4,1,-,2.2,1.5,1,0.1,1.3,1.5,0.3,-,0.3,1.9,0.8,0.1,1.8,1.7,47.4,-,1.6,-,6.69
Joe Bryan,Fulham FC,eng,27,"D(L),M(CL)",173,75,27(1),2347,-,1,5,-,0.8,75.4,1.1,-,2.2,1.1,0.9,0.1,2.5,0.6,0.4,-,0.9,0.5,1,0.1,0.6,0.8,33.9,0.8,1.7,-,6.65
Fabri,Fulham FC,es,32,GK,184,79,2,180,-,-,-,-,-,68.1,-,-,0.5,-,-,-,1.5,-,-,-,-,-,0.5,-,-,-,23.5,-,8,-,6.63
Denis Odoi,Fulham FC,be,32,D(CLR),178,72,29(2),2594,-,1,4,-,0.3,82.1,1.8,-,1.5,1.3,1.2,0.3,4.6,0.4,0.8,1,0.4,0.5,1,-,0.4,0.6,43,0.1,2.2,-,6.62
Cyrus Christie,Fulham FC,ie,28,"D(R),M(R)",188,78,19(9),1945,-,1,7,-,0.4,76.4,2,-,1.5,1,1,0.2,2.9,0.8,0.4,-,0.6,1,0.5,0.1,1,1,31.6,0.6,0.8,-,6.61
Tom Cairney,Fulham FC,sct,29,M(CR),186,84,24(7),2200,1,1,-,-,0.8,90.2,0.3,-,1.2,0.3,0.3,-,0.4,0.1,0.2,-,1.3,1.4,1.3,-,1.6,1.1,44.3,0.2,1.9,0.1,6.60
André Schürrle,Fulham FC,de,29,"M(CLR),FW",184,73,21(3),1650,6,-,2,-,2.3,77.8,0.6,1,1.3,0.3,0.7,-,0.7,1.3,-,-,0.9,0.8,0.8,0.5,1.4,2.1,21.8,0.4,0.7,-,6.59
Sergio Rico,Fulham FC,es,27,GK,195,90,29,2610,-,-,1,-,-,53.8,0.5,2,-,-,-,-,1.2,-,-,-,0.1,-,0.2,-,-,-,27.4,-,9.2,-,6.57
Jean Michael Seri,Fulham FC,ci,29,M(C),168,69,27(5),2252,1,2,6,-,0.6,87,0.4,-,1.3,1,1,-,0.4,1,0.3,-,1.8,0.5,0.7,-,0.8,1,49.8,1.2,3.1,-,6.55
Luciano Vietto,Fulham FC,ar,26,"AM(CLR),FW",174,69,10(10),987,1,4,1,-,1.2,78.8,0.3,-,0.8,0.3,0.7,-,0.3,0.8,-,-,1.1,0.8,1,-,1.3,1.3,19.3,0.4,0.2,0.1,6.48
Marcus Bettinelli,Fulham FC,eng,28,GK,194,82,7,630,-,-,1,-,-,60.7,0.3,-,-,-,-,-,1.9,-,-,-,-,-,0.1,-,-,0.1,30.1,-,9.4,-,6.45
Alfie Mawson,Fulham FC,eng,26,D(C),189,90,13(2),1132,-,-,2,-,0.1,82.4,2.1,-,0.7,1.3,0.4,0.6,4.3,0.3,1.1,-,0.1,-,0.3,-,-,0.5,31.8,-,3,-,6.43
Ryan Sessegnon,Fulham FC,eng,20,"D(L),M(LR)",178,70,26(9),2298,2,6,-,-,0.8,73.4,0.5,-,0.6,0.5,0.6,0.2,1.1,0.5,0.1,-,0.9,0.9,0.6,0.4,1.5,1.9,19.6,0.4,0.4,0.1,6.42
Aboubakar Kamara,Fulham FC,fr,25,"AM(R),FW",177,81,5(8),690,3,-,2,-,1.6,73.3,0.9,-,0.6,0.1,1.8,-,0.4,0.3,-,-,0.8,0.9,0.3,0.5,1,1.8,17.3,0.1,0.5,-,6.35
Timothy Fosu-Mensah,Fulham FC,nl,22,D(CR),190,78,10(2),795,-,-,3,-,0.3,81.5,0.6,-,1.5,1,0.6,0.2,2.1,0.4,0.4,1,0.5,0.7,0.1,-,0.3,0.4,33.8,0.3,1.6,0.1,6.33
Tim Ream,Fulham FC,us,33,"D(CL),DMC",186,80,25(1),2051,-,-,1,-,-,87.9,1.8,-,0.9,1,0.5,0.6,3,0.5,0.4,-,0.1,0.2,0.3,-,0.2,0.2,40.5,-,1.4,-,6.30
Håvard Nordtveit,Fulham FC,no,30,"D(CR),DMC",188,83,4(1),361,-,1,-,-,-,83.1,0.8,-,1.8,1.6,1,0.4,2.8,0.2,0.6,-,0.6,0.2,0.4,-,-,0.4,45,-,4.2,-,6.29
Floyd Ayité,Fulham FC,tg,31,"M(CLR),FW",175,73,3(13),468,1,-,-,-,0.4,79.2,0.4,-,0.3,0.4,0.4,-,0.2,0.3,0.1,-,0.6,0.6,0.4,0.3,0.8,1.3,12,0.1,0.4,-,6.24
Kevin McDonald,Fulham FC,sct,31,M(C),192,95,10(5),843,-,-,4,1,0.3,85.2,1.3,-,0.9,0.6,0.8,0.1,1.3,0.5,0.1,-,0.3,-,0.4,-,0.3,0.2,38.3,-,2.2,-,6.15
Lazar Markovic,Fulham FC,rs,26,AM(CLR),175,65,0(1),45,-,-,-,-,-,96.6,-,-,-,-,1,-,2,-,-,-,1,1,-,-,2,2,29,-,1,-,6.14
Neeskens Kebano,Fulham FC,cd,28,AM(LR),170,65,0(7),104,-,-,-,-,0.1,82.8,0.6,-,0.4,-,-,-,0.4,-,-,-,-,0.6,0.1,-,0.4,0.9,4.1,0.1,-,-,6.13
Ibrahima Cissé,Fulham FC,gn,26,DMC,180,84,1(2),87,-,-,-,-,-,85.3,0.3,-,-,1,0.3,-,1.3,0.3,-,-,-,0.3,-,-,-,0.3,11.3,-,-,-,6.08
Stefan Johansen,Fulham FC,no,29,M(CR),182,78,4(8),412,-,-,4,-,0.1,79.7,0.3,-,0.9,0.2,0.5,-,0.4,0.3,-,-,0.1,0.2,0.2,-,0.2,0.6,20.9,0.1,1,-,6.03
Harvey Elliott,Fulham FC,eng,17,AM(R),170,0,0(2),18,-,-,-,-,0.5,90.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5.5,-,-,-,6.02
